stepId,imageId,ext,caption
2679602,abb9fb36-b59b-4490-929f-35528388e2d3,jpg,
2680192,897d1556-3ed8-42b9-8cf8-eeb9193a9a14,jpg,Note that some of those green mylar film capacitors are pretty big.
2680193,64f0719b-a8f8-4c49-afc1-a1a5493c146b,png,The perf board with wire pads laid out
2680194,75d74289-909e-4077-8507-734d08586f9c,jpg,Pots are soldered directly onto the board in this layout.
2680196,b9c23bb8-6c9a-40d3-bb35-608f5e714437,png,
2680197,211c174b-fd94-42dd-b0be-9112ccc89f0e,png,Original Bazz Fuss circuit found on the Homewrecker site
2680197,31c3ab60-f5a0-4d41-92c9-cb4e6a9d0b6d,png,"Bazz Fuss circuit post-breadboarding, with notes"
2680198,06bd1caa-d7e4-4372-bfcf-4f43bfc0e7fd,png,Adding larger and more critical components to the layout
2680200,a1029e62-59e7-4401-97c5-470b9dfdf1e5,png,The finished perf board layout
2680201,a28f7171-bbcf-450f-8b73-43c653883e03,jpg,Note the standing resistors on this layout.
2680202,f30d27ce-fe8b-4bb5-9b0b-7f4cb261e7c0,png,The finished layout with solder-side mirrored on the right.
2680204,3e3ac70e-d806-47d1-949d-0d73b8b79191,png,Opening a new project in DIYLC 
2680204,dea37ff4-d1f0-4086-a400-50fce6866839,png,Bazz Fuss schematic after I've drawn it up in DIYLC
2680205,da577318-3f43-4c99-856f-54ec9cc3555e,jpg,
